,OR,log_OR,p-value,2.5%,97.5%
Slope_Beta_channel84,1.2781900131880741,0.24544502501941398,0.8061000436454628,0.1800722738602827,9.072855441817564
Slope_Alpha_channel37,1.2738033005715326,0.24200715007402968,0.650119945361777,0.4476723104826209,3.624469976259388
Slope_Alpha_channel63,1.2737821098490525,0.24199051414701125,0.5526943115158107,0.5730121540883486,2.8315644821756067
Slope_Gamma_channel1,1.2724617871651767,0.24095343925896867,0.8679628276138718,0.07429100673714233,21.7948183893177
Slope_Alpha_channel66,1.2666182215273505,0.2363505311702092,0.5819031379813393,0.5460892317976429,2.9378380412738125
Slope_Beta_channel68,1.2646938211876022,0.23483005429654172,0.7505946451441707,0.29724988949508024,5.380827774459345
Slope_Beta_channel79,1.2631670713510263,0.23362211597467894,0.7512234706856622,0.297986262031526,5.354579232168496
Slope_Beta_channel28,1.2591058360926768,0.23040181514516778,0.7776255323069974,0.2544651064090841,6.230117476044028
Slope_Alpha_channel106,1.259053965380987,0.23036061782983702,0.5546447572658784,0.5863512909859547,2.7035275816925917
Slope_Beta_channel110,1.2513108849268235,0.22419170974564542,0.7954393208263643,0.22976429641492924,6.814718192371909
Slope_Beta_channel106,1.249013056315012,0.22235368450354548,0.7929895582832818,0.23733175455646394,6.573219069487044
Slope_Theta_channel55,1.2387803533318462,0.2141273095560873,0.7797696565866552,0.27615929703621744,5.556853527186227
Slope_Alpha_channel54,1.237500813359354,0.21309387272057626,0.6256220800217152,0.5257454437942239,2.9128322102292024
Slope_Alpha_channel100,1.237242080360452,0.21288477382751456,0.6018789969929247,0.556049952062777,2.752932465394473
Slope_Theta_channel83,1.2371574445863684,0.21281636468560897,0.7819541327240492,0.274106753551074,5.583804568355102
Slope_Theta_channel31,1.23292754311626,0.20939145774848691,0.7543306089994665,0.3321843491415827,4.576104595243288
Slope_Theta_channel87,1.2284593888860251,0.20576085495285312,0.785332093850993,0.27947349841894903,5.399841053551231
Slope_Alpha_channel88,1.2266415182219343,0.20427996185306221,0.6870109153567776,0.4541025081235587,3.3134576165265432
Slope_Alpha_channel7,1.2178973782913989,0.19712591146175867,0.7310184856009727,0.39583383236857317,3.7472138628815843
Slope_Theta_channel46,1.2141615643899335,0.19405376812333788,0.8236432916480653,0.22034529920611237,6.690355136929178
Slope_Theta_channel12,1.2137192692913092,0.1936894214903555,0.7913391119346953,0.28904527537458696,5.096483458309268
Slope_Alpha_channel21,1.2085994777825984,0.18946223286066566,0.657539130897385,0.5229953457159381,2.7929745640408563
Slope_Beta_channel61,1.207773482125023,0.18877856713235916,0.8158074800831798,0.24669431819916818,5.913053834286979
Slope_Theta_channel65,1.2076384747886026,0.18866677888342342,0.794758852055059,0.2914692780005061,5.003582867444472
Slope_Alpha_channel5,1.2065002479694138,0.1877238116108302,0.7428935040945865,0.3930031359187265,3.7038962677674037
Slope_Beta_channel24,1.200771267095031,0.18296407291544892,0.8150863030930486,0.2591410994455596,5.563963566435015
Slope_Delta_channel88,1.1981154647887429,0.180749876341653,0.9186921386680033,0.037266783178198114,38.519038793928786
Slope_Beta_channel22,1.1979293038134706,0.18059448611014614,0.8232247395283757,0.245655020833356,5.8416661384198
Slope_Beta_channel69,1.1909877151021309,0.17478297554425654,0.825046406401603,0.2528685478633929,5.609443125724295
Slope_Alpha_channel83,1.1884006136414047,0.17260838096549275,0.7514472134974602,0.40840017970298576,3.4581180143710455
Slope_Alpha_channel92,1.1852953722988953,0.16999200285111266,0.6642442167769943,0.5501347681181202,2.5537835472553208
Slope_Alpha_channel47,1.1825424243238896,0.1676667175470657,0.7469597517353519,0.4270576852261163,3.274514506360893
Slope_Beta_channel96,1.1798473844960393,0.16538509494021075,0.8431410720768922,0.22929510750209586,6.070953130517279
Slope_Alpha_channel59,1.1790322840337069,0.16469400373649368,0.7132887305540245,0.4897821671765163,2.838235484986012
Slope_Theta_channel30,1.1760381223202994,0.16215126589004758,0.8062941663316657,0.32176739419125316,4.298340012439497
Slope_Alpha_channel9,1.1714300864886353,0.1582252985580148,0.7573885885045235,0.42926862174343106,3.196712682975811
Slope_Beta_channel70,1.1703575478822126,0.1573092986050949,0.8419999953884988,0.24921746377028373,5.496150908378641
Slope_Alpha_channel53,1.167716454950377,0.15505009376214954,0.7218908561163215,0.49721047270568425,2.742423569121027
Slope_Beta_channel80,1.1608854920551193,0.14918306913079485,0.8412630234252482,0.269616826816312,4.9984088217988125
Slope_Alpha_channel113,1.1602296008594248,0.14861791730773,0.7114419678964341,0.5279198593069471,2.5498808256192946
Slope_Gamma_channel46,1.1568485802798543,0.1456995669415615,0.9104020551497547,0.09145070537417893,14.634098580429134
Slope_Alpha_channel87,1.153664676586391,0.1429435509790367,0.7907590912162028,0.40132456089965246,3.3163736179505143
Slope_Delta_channel72,1.1526192746790276,0.14203698266303372,0.9450120884896128,0.020359374424939507,65.25402817555161
Slope_Theta_channel1,1.1497034156244748,0.13950400965639642,0.8874243376979393,0.16663689646013402,7.93232454503144
Slope_Beta_channel99,1.1491559707709202,0.13902773445040262,0.8704770196997105,0.21607130861079812,6.111683469910085
Slope_Beta_channel73,1.1488045643332914,0.13872189243527672,0.8687531202971318,0.2216451515196385,5.954346025548267
Slope_Beta_channel82,1.1487272435341425,0.13865458472801168,0.8698797411047434,0.21864283854990177,6.035296142280814
Slope_Alpha_channel116,1.143502021902151,0.13409550264892225,0.7381272637696041,0.5209970914826082,2.509796878852552
Slope_Alpha_channel85,1.1423080444889069,0.13305081609391153,0.8098651167029299,0.3864313456179422,3.37671279336167
Slope_Alpha_channel112,1.1402232083259662,0.13122404001788007,0.7596614594961473,0.49189720579244844,2.643050111884004
Slope_Alpha_channel115,1.1372896771701348,0.12864795555591538,0.7420959848479813,0.5285767012301605,2.4470011765322712
Slope_Alpha_channel111,1.137268288562904,0.12862914873054201,0.7760997945652958,0.46869090972961513,2.7595567426663745
Slope_Alpha_channel114,1.1365733343781623,0.12801788873831696,0.7378790950902421,0.5370188428166633,2.405500219776293
Slope_Alpha_channel94,1.1349388987268636,0.12657881576345426,0.7440938970869513,0.5307761520712868,2.4267976223437167
Slope_Alpha_channel62,1.1348934271105815,0.12653874970591275,0.7436313239922143,0.5316373091478207,2.422672503860483
Slope_Alpha_channel16,1.131783594555893,0.12379479061848768,0.7969820232653484,0.4407099183453034,2.906524340807382
Slope_Alpha_channel64,1.122716661672098,0.1157513390886924,0.7773107262816525,0.5033854807956161,2.5040307090381173
Slope_Alpha_channel102,1.1222684895141024,0.11535207394102552,0.7662297061584551,0.5246175542362714,2.4007709089906504
Slope_Alpha_channel109,1.1220743016660593,0.11517902742665981,0.785806518297731,0.4889451222208888,2.5750348684132662
Slope_Alpha_channel104,1.1187918463857394,0.11224939449799891,0.764534265999456,0.536737573119105,2.332043177572467
