,spearman_corr,p_val1,pearson_corr,p_val2
BDI_Delta_channel41,0.4852026700262255,0.030119730384170255,0.0757966705224765,0.7507854041171829
BDI_Gamma_channel111,-0.4852026700262255,0.030119730384170255,-0.2819243896815694,0.22849726040156998
MoCA corretto_Theta_channel6,-0.48494030898509394,0.030222154296697713,-0.5925189133498142,0.005906506185806243
BDI_Delta_channel112,-0.48368165852144124,0.030717327244051428,-0.2333844506785202,0.3220340730524698
BDI_Beta_channel112,-0.48368165852144124,0.030717327244051428,-0.07695365751772379,0.7470994508542941
BDI_Alpha_channel4,0.482921152769049,0.031019589738201778,0.09566403517981972,0.6882746319442636
UPDRS III _Beta_channel50,-0.4826812702786416,0.031115412703448773,-0.4472697843029434,0.048006064164993
BDI_Gamma_channel64,-0.4821606470166568,0.03132417749935267,-0.2447650841530898,0.29830810473033315
Apathy_Theta_channel51,0.48211008279604317,0.03134451154767418,0.13272207391446952,0.5769739238864773
BDI_Gamma_channel24,-0.48140014126426456,0.03163110246566611,-0.3147806860747829,0.17645155612227031
UPDRS III _Alpha_channel99,-0.48117524447434007,0.03172231585436551,-0.43111710134128006,0.05772166599698912
BDI_Theta_channel3,0.4806396355118724,0.031940376590954736,0.08371659235025497,0.7256618888217903
BDI_Gamma_channel65,-0.47911862400708793,0.03256602021013498,-0.29433356371456443,0.20778684852399454
BDI_Theta_channel42,0.47911862400708793,0.03256602021013498,0.06472636962805159,0.7863059407663893
BDI_Beta_channel41,0.4783581182546957,0.032882413687158864,0.03948814943111064,0.8687163603205168
mH&Y_Beta_channel53,-0.4778948196482323,0.03307633417745543,-0.43921559834363066,0.05267984311784695
mH&Y_Alpha_channel67,-0.4778948196482323,0.03307633417745543,-0.429622829347747,0.05869063308355821
Apathy_Beta_channel11,0.47683700376546145,0.03352244770172902,0.37090977006805326,0.10739981904899543
MoCA corretto_Beta_channel82,-0.4759041541592848,0.03391974495358601,-0.6620186063483569,0.0014741181561054523
BDI_Delta_channel96,-0.4745555894927347,0.034500578696076076,-0.30646569742042945,0.18877966060863338
BDI_Delta_channel0,0.4737950837403425,0.03483153560411062,0.05091602153207729,0.831187105458905
UPDRS III _Gamma_channel89,-0.4736451154528324,0.0348970899246425,-0.41108650291594223,0.07176096092668824
BDI_Gamma_channel60,-0.4730345779879503,0.0351649620022459,-0.18419694292888686,0.43692273580622276
UPDRS III _Gamma_channel87,-0.4721390896485309,0.035560750729267565,-0.38445132879014005,0.09419921805798415
Apathy_Beta_channel13,0.4708106277305109,0.03615428608886737,0.4205385438560986,0.0648490630312702
BDI_Gamma_channel42,0.47075306073077366,0.03618017925145858,-0.03309639720861133,0.8898306585667632
BDI_Delta_channel3,0.4692320492259893,0.03686956044645016,0.09614484325934669,0.6867838455533716
mH&Y_Beta_channel67,-0.46904491558067246,0.03695507721578519,-0.4897727090277104,0.028378903517562643
MoCA corretto_Delta_channel36,-0.46686799933347545,0.0379612607342559,-0.43681483222530215,0.054138007546116494
BDI_Gamma_channel39,0.4661900262164205,0.0382789278206578,-0.06311350694765329,0.7915169250120005
BDI_Gamma_channel3,0.4654295204640283,0.038637716776083325,-0.04435300349225239,0.8527023655691836
MoCA corretto_Beta_channel7,-0.465361973529174,0.03866970954862909,-0.6439521078781024,0.002183537872686676
mH&Y_Beta_channel47,-0.4646199635468926,0.03902250774274985,-0.5417744170327394,0.013610039853990017
mH&Y_Delta_channel79,-0.4646199635468926,0.03902250774274985,-0.4928704086125495,0.027244633346191618
mH&Y_Beta_channel59,-0.4646199635468926,0.03902250774274985,-0.6193568946044801,0.0035891885332556732
UPDRS III _Beta_channel96,-0.4646089606270232,0.03902775793393624,-0.435044693105743,0.05523269100574971
BDI_Delta_channel26,-0.46314800320685173,0.039729752024926186,-0.27365103503793553,0.24302578417946982
UPDRS III _Beta_channel95,-0.4631029348227217,0.039751561966557075,-0.42835975639985546,0.05951925363184947
UPDRS III _Alpha_channel65,-0.4623499219205709,0.04011734135961839,-0.4845156833725811,0.030388503798331946
BDI_Theta_channel0,0.4616269917020673,0.0404709547916156,0.07577348072902369,0.750859336100443
BDI_Alpha_channel74,0.46086648594967505,0.04084554668009015,0.2333888357147143,0.32202472059586223
mH&Y_Alpha_channel85,-0.46019501151311265,0.041178510222335415,-0.6074841763842641,0.004498003670179708
UPDRS III _Gamma_channel88,-0.45707883160551555,0.042751284732026835,-0.46843214463974414,0.03723618221569619
BDI_Gamma_channel21,-0.4570639571877141,0.042758901591868806,-0.25291563196781375,0.2819908853626343
BDI_Gamma_channel96,-0.4570639571877141,0.042758901591868806,-0.3564321824060188,0.12293991328506683
UPDRS III _Alpha_channel73,-0.455572805801214,0.043527818311812606,-0.44318425275134055,0.05033534543182343
UPDRS III _Alpha_channel109,-0.455572805801214,0.043527818311812606,-0.46590536572164104,0.03841291996604397
BDI_Gamma_channel26,-0.45554294568292963,0.0435433239143998,-0.33493722200509096,0.1488735818119885
MoCA corretto_Delta_channel50,-0.4548197928990632,0.043920141113616,-0.22371861242897131,0.34304198714053635
UPDRS III _Beta_channel79,-0.4548197928990632,0.043920141113616,-0.45699126527303485,0.042796140579809405
BDI_Theta_channel26,-0.45402193417814524,0.04433879675465006,-0.15205030533694655,0.522209449510423
BDI_Gamma_channel22,-0.45402193417814524,0.04433879675465006,-0.27282449330649033,0.24450907824756038
BDI_Gamma_channel25,-0.4532614284257531,0.04474070786583617,-0.27842908919513876,0.23456461337420814
UPDRS III _Beta_channel61,-0.45180774129046014,0.04551675098731775,-0.3884277008966285,0.09055915522825336
BDI_Delta_channel42,0.45174041692096867,0.04555294099426331,0.068334429110331,0.7746806179921712
mH&Y_Delta_channel68,-0.4513451074455528,0.04576588516822257,-0.4141348545344873,0.06947427286896073
mH&Y_Delta_channel53,-0.4513451074455528,0.04576588516822257,-0.5319658190875837,0.015768067069911514
mH&Y_Alpha_channel77,-0.4513451074455528,0.04576588516822257,-0.5959160764819579,0.00555862947077395
BDI_Alpha_channel1,0.45097991116857644,0.04596328762965707,0.34265860036756873,0.13915389628822178
MoCA corretto_Theta_channel10,-0.45030171548615866,0.04633161437454248,-0.25649270620197284,0.2750079882994997
MoCA corretto_Delta_channel6,-0.45030171548615866,0.04633161437454248,-0.5725850919635117,0.008326966530516984
BDI_Delta_channel94,-0.44945889966379204,0.04679250260525785,-0.23374661604017002,0.3212621882924128
Apathy_Gamma_channel51,0.44896501460381527,0.04706421218371527,0.14822611381540443,0.5328477174283012
BDI_Beta_channel40,0.4486983939113998,0.047211395575733416,0.1771258582627596,0.4550251259478579
MoCA corretto_Delta_channel7,-0.4472896638775556,0.047994936152118924,-0.6000677070376081,0.0051565665011588865
UPDRS III _Alpha_channel83,-0.4472896638775556,0.047994936152118924,-0.4683514094277429,0.03727334254940439
BDI_Beta_channel1,0.4471773824066155,0.04805781406649722,0.0647296960556015,0.7862952023941354
MoCA corretto_Alpha_channel82,-0.445783638073254,0.048843585846169914,-0.5855750485000306,0.0066733690812295805
Apathy_Delta_channel96,-0.4444452325776023,0.04960739026725266,-0.4106455312511351,0.07209635634725622
BDI_Alpha_channel40,0.4433748536446544,0.050224791663648065,0.4332126498128316,0.05638331236322941
Apathy_Beta_channel12,0.44293863856886473,0.05047808286626008,0.17555793839092174,0.4590906386326681
Apathy_Theta_channel13,0.441432044560127,0.05136041832731321,0.3409658776763792,0.14124543816083804
BDI_Beta_channel49,0.4410933363874778,0.05156039523306403,0.09205987951593057,0.6994845597366453
MoCA corretto_Beta_channel12,-0.43975953485604796,0.052353675118808646,-0.34590715242097103,0.13520115890978435
Apathy_Gamma_channel94,-0.4391721535470206,0.05270596122543034,-0.45874994030239075,0.041902193724179373
mH&Y_Gamma_channel67,-0.438070251344213,0.053371711426385006,-0.4601659146116082,0.04119298578107372
mH&Y_Gamma_channel11,-0.438070251344213,0.053371711426385006,-0.4480946691835241,0.047545977559039075
UPDRS III _Gamma_channel11,-0.4375004961495956,0.053718452835330874,-0.3297473435368222,0.15566669216772375
BDI_Delta_channel110,-0.4372908076255168,0.05384649633203137,-0.2756756204670081,0.23941696733402415
Apathy_Beta_channel50,0.4361589655295453,0.05454166127084502,0.34848124603715047,0.13212585845874417
UPDRS III _Delta_channel30,0.4359944703452941,0.054643258550662495,0.4571403254321226,0.04271980621973742
BDI_Theta_channel112,-0.43576979612073236,0.054782257015107146,-0.015475834737914973,0.948367363617648
BDI_Gamma_channel98,-0.43576979612073236,0.054782257015107146,-0.2785287807968217,0.23439013289504815
Apathy_Theta_channel50,0.4346523715208077,0.05547757319887542,0.21872311928179433,0.35420527092331056
mH&Y_Gamma_channel47,-0.43364529931043305,0.056109956616758355,-0.4204451083289788,0.064914835784874
mH&Y_Beta_channel56,-0.43364529931043305,0.056109956616758355,-0.5753200529221326,0.00795361807133186
BDI_Gamma_channel113,-0.4334882788635558,0.05620904822736631,-0.23751749437427688,0.3132910132865899
BDI_Alpha_channel35,0.4334882788635558,0.05620904822736631,0.20324512358565444,0.3900999891112379
Apathy_Gamma_channel11,0.43314577751207006,0.05642565364080592,0.31584658983275826,0.17491186454104807
UPDRS III _Beta_channel110,-0.432982418736691,0.05652918850929469,-0.3896848959229691,0.08943008925682429
UPDRS III _Alpha_channel66,-0.432982418736691,0.05652918850929469,-0.4887579453327551,0.0287584396780938
MoCA corretto_Alpha_channel36,-0.4322294058345402,0.05700830681699903,-0.3242674943452852,0.16306941942585254
UPDRS III _Beta_channel12,-0.43147639293238943,0.057490503240502276,-0.454156672344678,0.04426788150137524
UPDRS III _Gamma_channel36,-0.4307233800302387,0.05797578966170739,-0.44201723431914075,0.05101631347137951
UPDRS III _Alpha_channel111,-0.42997036712808795,0.05846417795483492,-0.42587177457507014,0.061177343228585986
Apathy_Alpha_channel50,0.429379292490226,0.05884971721684303,0.23968653650656313,0.3087603337590244
mH&Y_Gamma_channel59,-0.4292203472766531,0.05895372020085259,-0.5223088377702384,0.018152899823558985
Apathy_Delta_channel45,0.42787269848148834,0.05984113730272137,0.5495732560870564,0.012069808061715818
MoCA corretto_Alpha_channel10,-0.4277113284216356,0.05994807268476353,-0.35305028528523696,0.12678967526262408
UPDRS III _Delta_channel32,0.4277113284216356,0.05994807268476353,0.39821012580707765,0.08204516466811428
BDI_Alpha_channel52,0.4274042328444182,0.06015197585987707,0.023218222004530713,0.9225979559379702
BDI_Alpha_channel41,0.4274042328444182,0.06015197585987707,0.054021792539865596,0.8210448105824217
Apathy_Delta_channel55,0.42711940147711946,0.06034156510238704,0.16646309445110208,0.4830352093843941
BDI_Alpha_channel9,0.42664372709202597,0.060659191008899514,0.10064343315914824,0.6728901333071317
BDI_Beta_channel4,0.42664372709202597,0.060659191008899514,0.01455270946621538,0.9514436348589681
UPDRS III _Beta_channel62,-0.4262053026173341,0.06095306251147306,-0.40486516315063215,0.07660193416907957
UPDRS III _Beta_channel55,-0.4262053026173341,0.06095306251147306,-0.46105223924563754,0.04075380614972619
BDI_Gamma_channel114,-0.42588322133963374,0.061169635532856606,-0.2544354709995826,0.2790106696025567
Apathy_Gamma_channel96,-0.42485951046401305,0.06186186164454041,-0.33044801263122603,0.1547372534494107
mH&Y_Delta_channel70,-0.42479539524287324,0.06190541203693206,-0.37066873536442635,0.10764628771816562
mH&Y_Delta_channel66,-0.42479539524287324,0.06190541203693206,-0.41746744452951684,0.06703735673920364
mH&Y_Alpha_channel53,-0.42479539524287324,0.06190541203693206,-0.48558020989195183,0.02997281951895559
MoCA corretto_Beta_channel94,0.42469927681303254,0.06197074406641593,0.4696032199627362,0.0367003972469886
MoCA corretto_Gamma_channel13,-0.42319325100873106,0.06300121178419517,-0.6076012464240479,0.004488194490113613
MoCA corretto_Delta_channel51,-0.42319325100873106,0.06300121178419517,-0.28306540953494724,0.2265389301161148
BDI_Beta_channel43,0.4228411983300649,0.06324395065253315,0.09353770187615346,0.6948807239925515
BDI_Beta_channel52,0.4205596810728883,0.06483419072145676,-0.01957001400323887,0.9347327579011127
MoCA corretto_Theta_channel15,-0.420181199400128,0.06510088254445644,-0.3151677215546618,0.17589142253146972
BDI_Delta_channel65,-0.4197991753204961,0.06537090746859936,-0.2444791205800843,0.2988908416148714
UPDRS III _Beta_channel77,-0.4186751735958264,0.06617027351673785,-0.27401277984591565,0.24237842675559504
Apathy_Alpha_channel11,0.4173265404203249,0.06713907174846284,0.20763450322154156,0.37972166808638497
UPDRS III _Alpha_channel60,-0.4171691477915249,0.06725282648654843,-0.5050884791414354,0.02311444902200581
MoCA corretto_Beta_channel10,-0.4171691477915249,0.06725282648654843,-0.287236860454409,0.21947276997523923
BDI_Beta_channel74,0.41675715231092736,0.06755127992717495,0.09709450583683658,0.6838426092127166
mH&Y_Theta_channel67,-0.4159454911753134,0.06814216459870043,-0.3728739064763179,0.10540659888045838
Apathy_Gamma_channel89,-0.4158199464115872,0.06823390588852313,-0.16649327934069136,0.48295472977457965
MoCA corretto_Delta_channel15,-0.4156631219872233,0.06834863487436944,-0.4202402030993173,0.06505925214403008
BDI_Theta_channel2,0.4152361408061429,0.06866173789776354,0.022270922819293073,0.9257474198756774
UPDRS III _Alpha_channel24,-0.41340408328077105,0.07001740512760106,-0.45655805553205875,0.043018586848543205
Apathy_Theta_channel12,0.412806758394112,0.07046371414949407,0.16194190759569796,0.4951644338296577
UPDRS III _Alpha_channel95,-0.41265107037862037,0.07058039037164125,-0.3551011997349164,0.12444494490836132
MoCA corretto_Delta_channel13,-0.41265107037862037,0.07058039037164125,-0.6230195604005244,0.0033417602124703656
BDI_Gamma_channel62,-0.41219411779657406,0.07092367689910767,-0.20320820659284605,0.39018793828602044
UPDRS III _Delta_channel76,-0.41189805747646946,0.07114675916675832,-0.36515669032322645,0.11339480644254515
Apathy_Beta_channel94,-0.4105468673810055,0.07217155859501324,-0.3417711232816393,0.1402477360578384
BDI_Gamma_channel43,0.4099126005393975,0.07265640226177295,0.028450112924246738,0.9052247971819495
BDI_Gamma_channel94,-0.4099126005393975,0.07265640226177295,-0.37246534961604183,0.10581898004962206
Apathy_Delta_channel54,0.40979357037663666,0.0727476614442194,0.18407603852199098,0.4372290335914242
UPDRS III _Alpha_channel91,-0.4096390187700172,0.0728662823382788,-0.42351000641489267,0.06278341180933843
UPDRS III _Beta_channel94,-0.4096390187700172,0.0728662823382788,-0.36796387458201585,0.11044023680905843
Apathy_Alpha_channel47,0.4090402733722679,0.07332719419118566,0.3890498602635832,0.08999910286590423
UPDRS III _Alpha_channel64,-0.4088860058678665,0.07344630072686777,-0.49050889679387266,0.028106032533624172
BDI_Theta_channel110,-0.40839158903461303,0.07382900272774508,-0.09536031710546275,0.6892169068419023
Apathy_Theta_channel56,0.40828697636789907,0.07391016833619946,0.16974831430414042,0.4743152914302434
MoCA corretto_Delta_channel75,-0.4081329929657157,0.07402976026917722,-0.3035673213554243,0.19320990202285743
MoCA corretto_Delta_channel12,-0.4081329929657157,0.07402976026917722,-0.37071012266988546,0.10760393830331745
MoCA corretto_Delta_channel8,-0.4081329929657157,0.07402976026917722,-0.4766647528938367,0.033595533831924214
BDI_Beta_channel63,-0.40763108328222086,0.0744205735373671,-0.11694841576754114,0.6234097189450644
BDI_Theta_channel98,-0.40763108328222086,0.0744205735373671,-0.06441328114499022,0.7873168189434789
BDI_Delta_channel43,0.40763108328222086,0.0744205735373671,0.10215917381456795,0.6682314538884853
Apathy_Theta_channel11,0.40753367936353024,0.07449659536021544,0.22461245986437994,0.34106645270401875
UPDRS III _Alpha_channel25,-0.4073799800635649,0.07461667242917693,-0.48599079617203633,0.029813688205936235
BDI_Delta_channel24,-0.40687057752982864,0.07501567379977875,-0.2342180668353786,0.3202590386866286
BDI_Delta_channel98,-0.40687057752982864,0.07501567379977875,-0.27049681202446063,0.2487174228799494
MoCA corretto_Beta_channel36,-0.4066269671614141,0.07520704865105085,-0.3400274562759426,0.1424144194174971
BDI_Delta_channel60,-0.40611007177743647,0.07561431529028154,-0.1494807019070189,0.5293466519579751
UPDRS III _Alpha_channel70,-0.4058739542592634,0.07580090035879729,-0.4196274082195798,0.06549259153496406
Apathy_Alpha_channel54,0.40527378835042377,0.07627670821741903,0.16457716889616786,0.48807667242405073
MoCA corretto_Alpha_channel14,-0.40512094135711263,0.07639823895582831,-0.3151320695071895,0.1759429689224014
BDI_Theta_channel41,0.40458906027265207,0.07682226894992768,0.06033308142973455,0.8005200839930323
Apathy_Gamma_channel50,0.40452049134605494,0.07687706116630742,0.28042998783893447,0.2310787088624393
mH&Y_Beta_channel61,-0.4026706350739736,0.07836625209980283,-0.34105800596167324,0.14113103920845055
UPDRS III _Theta_channel32,0.40210888974850956,0.07882268956200088,0.3509801069864122,0.12918810958565713
MoCA corretto_Beta_channel50,-0.40210888974850956,0.07882268956200088,-0.21752884644101175,0.35690476803543575
MoCA corretto_Alpha_channel46,-0.40210888974850956,0.07882268956200088,-0.30716336346937523,0.18772356693843786
Apathy_Alpha_channel55,0.40075400632421093,0.07993170240292564,0.192772007189975,0.41548904331857806
Apathy_Theta_channel55,0.40075400632421093,0.07993170240292564,0.17765381781909867,0.4536603449283819
MoCA corretto_Beta_channel38,-0.400602863944208,0.08005613110886138,-0.46158505462640187,0.040491541637641404
MoCA corretto_Theta_channel11,-0.400602863944208,0.08005613110886138,-0.272456130336035,0.2451720007147395
UPDRS III _Alpha_channel52,-0.3998498510420573,0.08067819541271923,-0.4543137914999915,0.04418529711151302
UPDRS III _Alpha_channel89,-0.3990968381399065,0.08130383704377475,-0.4154659204804386,0.0684931082185176
BDI_Alpha_channel5,0.3985050142535144,0.08179807254557543,0.028961653276176523,0.903528260653887
BDI_Gamma_channel0,0.3985050142535144,0.08179807254557543,-0.08049264565665629,0.7358579429004609
UPDRS III _Alpha_channel103,-0.39834382523775574,0.08193306720204646,-0.39362727061968306,0.08595662895789563
mH&Y_Alpha_channel52,-0.39824568304019364,0.08201534137604348,-0.5264489505805229,0.017097488927326262
mH&Y_Gamma_channel75,-0.39824568304019364,0.08201534137604348,-0.5636235802118337,0.009651777408817548
MoCA corretto_Delta_channel10,-0.39759081233560495,0.0825658970629342,-0.27092285484807704,0.24794371897983872
BDI_Delta_channel2,0.3969840027487301,0.08307848485687318,0.01768806574863576,0.9409981498007769
BDI_Delta_channel39,0.3954629912439456,0.08437366600660698,0.06113063141107381,0.7979350461142362
UPDRS III _Alpha_channel115,-0.39533177362915267,0.08448609623750516,-0.3139888365521184,0.17760133445909396
Apathy_Gamma_channel52,0.3939743332848915,0.08565568610030985,0.2974425318705443,0.20279985883198642
BDI_Delta_channel23,-0.3939419797391612,0.08568370739552222,-0.26368702521054765,0.26129344221569484
