,pearson_corr,p_val2
mH&Y_Gamma_channel55,-0.5132622922265491,0.02064043333488428
MoCA corretto_Alpha_channel8,-0.5130012787551208,0.02071603232266421
MoCA corretto_Theta_channel82,-0.5117180408969982,0.021090914641776946
UPDRS III _Alpha_channel63,-0.5104649648195276,0.02146217125397947
UPDRS III _Alpha_channel79,-0.5104454901884636,0.02146798182707581
mH&Y_Delta_channel77,-0.5091499892960133,0.021857332085691464
Apathy_Theta_channel10,0.5089469293964527,0.02191886482871093
mH&Y_Alpha_channel54,-0.5087055020279476,0.021992202873670385
UPDRS III _Beta_channel36,-0.5085954257675889,0.022025705177339993
Apathy_Beta_channel10,0.5085861987654083,0.022028515304711452
mH&Y_Alpha_channel59,-0.5073385153988772,0.0224111328769262
UPDRS III _Beta_channel20,-0.5068776567621176,0.02255378700189577
mH&Y_Beta_channel76,-0.5064424168245025,0.02268917154667983
UPDRS III _Alpha_channel75,-0.5062779677005806,0.022740492082318785
MoCA corretto_Gamma_channel11,-0.5060856641184281,0.022800622025344032
UPDRS III _Beta_channel76,-0.5058629752595516,0.022870410359196798
UPDRS III _Alpha_channel60,-0.5050884791414354,0.02311444902200581
mH&Y_Gamma_channel12,-0.5050197364716699,0.023136208708816275
mH&Y_Delta_channel76,-0.5045119391425023,0.02329744933550844
mH&Y_Beta_channel12,-0.5041749909411927,0.023404930798328765
Apathy_Alpha_channel10,0.5035223969314052,0.0236142155069671
mH&Y_Delta_channel59,-0.5035114552549345,0.023617737054517057
mH&Y_Beta_channel58,-0.5030736679420027,0.023758979219704372
Apathy_Theta_channel46,0.5024868893007711,0.02394933803651056
MoCA corretto_Theta_channel13,-0.5021119906306746,0.024071590809397504
Apathy_Alpha_channel48,0.5012950990832205,0.024339685940206336
Apathy_Delta_channel74,0.49951068206514365,0.024933527911160644
mH&Y_Alpha_channel56,-0.4991663428988496,0.0250494283775584
mH&Y_Alpha_channel75,-0.4966522932855394,0.02590858362889284
UPDRS III _Alpha_channel110,-0.4962392910539825,0.026051920500293715
mH&Y_Delta_channel55,-0.4961661555768588,0.026077368033841142
BDI_Alpha_channel79,0.495744746825483,0.026224379765901536
BDI_Alpha_channel97,0.49564904562132817,0.02625785678811823
mH&Y_Delta_channel50,-0.4954137991715815,0.026340291094922162
UPDRS III _Beta_channel52,-0.49510222496744083,0.026449785956907713
Apathy_Alpha_channel41,0.49419335939741627,0.02677123531846679
UPDRS III _Beta_channel75,-0.4931974415473801,0.02712700072719541
mH&Y_Delta_channel58,-0.49314286069263846,0.02714660540654769
mH&Y_Delta_channel79,-0.4928704086125495,0.027244633346191618
mH&Y_Delta_channel12,-0.49171418826732705,0.0276637463288056
UPDRS III _Alpha_channel64,-0.49050889679387266,0.028106032533624172
MoCA corretto_Alpha_channel35,-0.49024166170491834,0.028204844629640055
Apathy_Theta_channel48,0.4900985388178988,0.02825787758477235
mH&Y_Beta_channel67,-0.4897727090277104,0.028378903517562643
UPDRS III _Alpha_channel66,-0.4887579453327551,0.0287584396780938
mH&Y_Alpha_channel51,-0.48818898548966555,0.028972977408236254
MoCA corretto_Beta_channel8,-0.48805835150884214,0.02902241260927372
UPDRS III _Beta_channel54,-0.48604439674650757,0.02979296320256273
UPDRS III _Alpha_channel25,-0.48599079617203633,0.029813688205936235
Apathy_Beta_channel46,0.4858530375007219,0.02986700538032772
mH&Y_Alpha_channel53,-0.48558020989195183,0.02997281951895559
UPDRS III _Alpha_channel65,-0.4845156833725811,0.030388503798331946
MoCA corretto_Alpha_channel13,-0.48369674862321427,0.03071135313906076
mH&Y_Alpha_channel55,-0.48213224485598893,0.031335597957946965
BDI_Alpha_channel50,0.4820368366954079,0.03137398528612703
Apathy_Delta_channel44,0.48090119975463086,0.031833740736515265
UPDRS III _Alpha_channel67,-0.4800667505619237,0.03217490972589795
mH&Y_Theta_channel56,-0.4798284115220953,0.03227287912019567
mH&Y_Gamma_channel36,-0.47976311858082654,0.032299758490098605
Apathy_Alpha_channel44,0.47846404972480694,0.03283819955952846
UPDRS III _Beta_channel88,-0.4783164398032419,0.03289982236391546
BDI_Alpha_channel11,0.47762821573369585,0.03318832951208304
MoCA corretto_Delta_channel8,-0.4766647528938367,0.033595533831924214
Apathy_Theta_channel74,0.4766124916000858,0.03361773290523901
UPDRS III _Beta_channel58,-0.4751107817405442,0.034260522624501744
mH&Y_Gamma_channel20,-0.47498252780933714,0.0343158614527327
Apathy_Theta_channel42,0.4743588917802224,0.03458594152659879
Apathy_Delta_channel3,0.4737162165030107,0.03486599816969316
Apathy_Gamma_channel10,0.47294824006643277,0.03520297152403445
Apathy_Beta_channel41,0.47137756173769574,0.03590005342432888
mH&Y_Theta_channel51,-0.4703114837606252,0.03637927711554513
MoCA corretto_Beta_channel94,0.4696032199627362,0.0367003972469886
UPDRS III _Beta_channel56,-0.46960226599682214,0.036700831247440335
MoCA corretto_Gamma_channel86,-0.4693080717956635,0.03683486345468279
UPDRS III _Gamma_channel88,-0.46843214463974414,0.03723618221569619
UPDRS III _Alpha_channel83,-0.4683514094277429,0.03727334254940439
mH&Y_Theta_channel75,-0.46748947614140113,0.03767186678040107
UPDRS III _Beta_channel83,-0.4670733712404412,0.037865437934437036
mH&Y_Gamma_channel57,-0.46688249860222586,0.037954489468666475
mH&Y_Alpha_channel62,-0.46674295742750627,0.03801969515649787
mH&Y_Theta_channel55,-0.46623927701979984,0.03825578189837839
UPDRS III _Alpha_channel109,-0.46590536572164104,0.03841291996604397
Apathy_Delta_channel47,0.4645413313971404,0.03906004016030528
mH&Y_Delta_channel36,-0.4635360595628637,0.039542343246113734
